10000	795
10001	37
10001	39
10001	58
10001	795
10001	85
10003	1833
10003	795
10004	795
10005	795
10006	795
10007	795
1000	795
10008	1273
10008	795
10009	1219
10009	140
10009	795
10010	1219
10010	140
10010	1498
10010	1833
10010	41
10010	42
10010	795
10011	795
1001	1927
10012	795
10013	795
10014	619
10014	795
10016	795
10017	1347
10017	139
10017	148
1001	715
10017	1837
10017	1897
10017	1910
10017	1912
10017	1987
10017	2295
10017	39
10017	603
10017	795
1001	795
1001	821
10018	39
10018	603
10018	795
10018	85
10019	795
10020	795
10021	529
10021	606
10021	795
1002	1927
10022	737
10022	795
10023	1093
10023	1347
10023	1641
10023	1642
10023	1833
10023	1905
10023	2071
10023	737
10023	795
10023	796
10024	1093
100	248
10025	1833
10025	1834
10025	1919
10025	2145
10025	795
10026	1834
10026	1913
10026	795
10026	895
10027	1834
10027	1919
10027	2064
10027	795
1002	795
10028	2127
10028	795
10029	1271
10029	1834
10029	2127
10029	793
10029	794
10029	795
10029	892
10030	1815
10030	795
10031	1834
10031	1927
1003	1508
10031	794
10031	795
1003	1833
1003	2145
10032	1833
1003	2223
1003	2441
10032	795
10034	1927
10034	2127
10034	795
10035	1834
10035	793
10035	794
10035	892
10036	1834
10036	1919
10036	2064
10036	794
10036	795
10036	801
10037	2127
10037	794
10037	795
1003	795
10038	1899
10039	795
10040	795
10041	1833
10041	1834
10041	1919
10041	2064
10041	2127
10041	795
10042	2064
10042	795
10043	2064
10044	104
10044	1774
10045	104
10045	1774
10045	728
10045	795
1004	582
10046	728
10046	795
10047	104
10050	795
10051	795
10052	1441
10052	2144
10052	2294
10053	1356
10053	1850
10053	1987
10053	795
10053	821
10054	1927
10054	795
10055	1833
10055	1927
10055	795
10057	795
10057	818
1005	795
10058	795
10059	795
10060	795
10061	1427
10061	1927
10061	795
10062	1927
10064	795
10065	138
10065	157
10065	1593
10065	795
10065	892
10065	995
10066	795
10067	113
10067	1927
1006	795
10068	153
10068	383
10069	1927
10069	795
10070	154
10070	795
1007	1428
1007	153
10071	795
10072	795
10075	795
10076	795
1007	795
10078	1927
10078	795
10080	1927
10081	1927
1008	163
10081	795
10082	1253
10082	1453
10082	1454
10082	1817
10082	1927
10082	2442
10082	795
10083	1349
10083	1496
10083	1602
1008	338
10083	821
1008	418
10084	795
10085	795
10086	316
10087	39
10087	795
10087	84
10088	795
10089	795
10090	795
10090	819
10092	1335
10092	1854
10092	1927
10092	795
10092	819
10093	1263
10094	1263
10094	795
1009	795
10098	1927
10098	795
10099	1927
10100	1870
10100	795
10101	154
10101	795
10102	795
10103	795
10104	1508
10105	795
10106	795
10107	795
1010	795
10109	795
10111	122
10111	1388
10111	1633
10111	1634
10111	2281
1011	1349
10111	795
10111	87
10112	1347
10112	795
10113	1388
10113	667
10114	795
1011	506
1011	507
10116	1169
10116	551
10116	792
10117	1169
10117	551
1011	795
10118	795
10119	795
10120	1797
10120	699
10120	795
10121	1927
10122	2143
10122	795
10123	795
10124	1987
10126	1987
10127	795
1012	795
10129	1833
10129	795
10130	795
10133	795
1013	507
10135	1913
10135	749
1013	795
10138	1255
10138	2362
10138	2367
10138	749
10139	1255
10139	2362
10140	1255
10140	1913
10140	2362
10141	1255
10141	1913
10141	2362
10141	749
10142	1271
10142	1347
10142	1349
10142	1352
10142	1438
10142	1508
10142	1913
10142	2135
10142	2362
10142	2365
10142	2366
10142	2367
10142	2368
10142	2388
10142	749
10142	795
10142	796
10143	749
10144	1347
10144	795
1014	506
10145	1095
10145	2124
10145	795
10146	1095
10146	2124
10146	795
10147	795
10148	1095
10148	2124
10148	735
10148	795
1015	142
10151	795
10152	1113
10152	1743
10152	2284
10152	688
10152	7
10152	795
10154	795
10155	795
10156	795
10159	1833
10159	1987
10160	795
10161	1884
10161	1987
10161	2314
10163	688
10163	795
10164	1151
10164	795
10166	795
10166	821
10167	1387
10167	795
1016	795
10168	2243
10168	795
10169	1833
10169	1951
10169	1987
10169	2016
10169	691
10169	795
10170	1834
10170	1987
10170	795
